Tarih,Hisse_Kodu,Set,Close,Open,High,Low,Volume,USD_TRY,VIX,Gunluk_Getiri
2018-07-02,BIMAS.IS,Train,12.79377555847168,12.948383714999,13.016024230559957,12.784113470221632,2920376.0,4.589890003204346,15.600000381469728,-0.0157365862425529
2018-07-03,BIMAS.IS,Train,12.871079444885254,12.851753794220562,13.006361948443368,12.822764580997209,3235492.0,4.616099834442139,16.139999389648438,0.0060241228858314
2018-07-04,BIMAS.IS,Train,13.334900856018066,12.91939278083136,13.344564417433846,12.764786119346104,4295444.0,4.675099849700928,15.554999828338625,0.0354018316946993
2018-07-05,BIMAS.IS,Train,13.59579849243164,13.354224242479225,13.624787697316371,13.267258102277236,3891148.0,4.669589996337891,14.970000267028809,0.0193760878948713
2018-07-06,BIMAS.IS,Train,13.45085620880127,13.58613869623976,13.73108327063299,13.238271127915024,2758104.0,4.604269981384277,13.369999885559082,-0.0107180479632668
2018-07-09,BIMAS.IS,Train,13.180294036865234,13.450857564560811,13.470183214870652,13.122317085935716,3710620.0,4.578800201416016,12.6899995803833,-0.0203199245210483
2018-07-10,BIMAS.IS,Train,13.035347938537598,12.95804534624888,13.27692222557093,12.890403366317598,5407900.0,4.712470054626465,12.640000343322754,-0.0110580984802884
2018-07-11,BIMAS.IS,Train,12.92905616760254,12.92905616760254,13.286585818370009,12.8517521006779,6809480.0,4.714700222015381,13.630000114440918,-0.0081875450929058
2018-07-12,BIMAS.IS,Train,12.619842529296877,12.755123552956292,12.98703430050174,12.339615445355838,8408832.0,4.889969825744629,12.579999923706056,-0.0242068154079069
2018-07-13,BIMAS.IS,Train,12.735798835754396,12.60051632773522,12.929058297679491,12.5715285880086,3309744.0,4.867599964141846,12.18000030517578,0.0091464548794337
2018-07-16,BIMAS.IS,Train,12.822762489318848,12.78411119429435,12.900066553820231,12.677817921298397,2869496.0,4.854949951171875,12.829999923706056,0.0068050770196832
2018-07-17,BIMAS.IS,Train,12.958045959472656,12.832427029380073,13.074001327845616,12.755122958980598,2777652.0,4.852910041809082,12.0600004196167,0.0104949937588034
2018-07-18,BIMAS.IS,Train,13.41220760345459,12.94838457743214,13.431533255694534,12.784114321713478,6582484.0,4.800300121307373,12.100000381469728,0.0344484025931439
2018-07-19,BIMAS.IS,Train,13.982319831848145,13.489509157111426,14.059623900763455,13.489509157111426,6318812.0,4.796090126037598,12.869999885559082,0.041628354952739
2018-07-20,BIMAS.IS,Train,14.07894802093506,14.059622374417389,14.175577727975728,13.663439985769717,3388972.0,4.801030158996582,12.859999656677246,0.0068869711460979
2018-07-23,BIMAS.IS,Train,13.924342155456545,14.107938019352082,14.204567731813398,13.760070464710386,4287452.0,4.777910232543945,12.619999885559082,-0.0110420907969846
2018-07-24,BIMAS.IS,Train,13.64411449432373,14.049958973616688,14.17557788908774,13.566810432922134,4496648.0,4.7368998527526855,12.40999984741211,-0.0203302866470954
2018-07-25,BIMAS.IS,Train,13.624788284301758,13.73108154864105,13.750407194579392,13.547484226096117,4581516.0,4.881100177764893,12.289999961853027,-0.0014174544105922
2018-07-26,BIMAS.IS,Train,13.460519790649414,13.663441310436616,13.750408939876095,13.373552161209933,3305500.0,4.796599864959717,12.140000343322754,-0.0121298607576969
2018-07-27,BIMAS.IS,Train,13.528158187866213,13.528158187866213,13.731081150465096,13.470179777280178,2811372.0,4.869939804077148,13.029999732971191,0.0050123639906831
2018-07-30,BIMAS.IS,Train,13.528158187866213,13.605462243830178,13.624787889208111,13.35422443056034,2427464.0,4.851329803466797,14.260000228881836,0.0
2018-07-31,BIMAS.IS,Train,13.702092170715332,13.508832764850384,13.74074346210742,13.421865147539805,3558560.0,4.882780075073242,12.829999923706056,0.0127752294707844
2018-08-01,BIMAS.IS,Train,13.489510536193848,13.682769991013515,13.682769991013515,13.450857760558335,2690708.0,4.917900085449219,13.149999618530272,-0.0156361482589698
2018-08-02,BIMAS.IS,Train,13.41220760345459,13.40254404010824,13.537826554693362,13.160969700977043,2485048.0,4.981249809265137,12.1899995803833,-0.0057470786889654
2018-08-03,BIMAS.IS,Train,13.315579414367676,13.33490506885224,13.566815871572846,13.228611757507752,2871328.0,5.091599941253662,11.640000343322754,-0.0072305731865115
2018-08-06,BIMAS.IS,Train,13.383213996887209,13.218943795064966,13.383213996887209,13.006358741268402,2449464.0,5.10099983215332,11.270000457763672,0.0050665006583693
2018-08-07,BIMAS.IS,Train,13.508833885192873,13.37355140519653,13.518495971616083,13.160966336004993,2383536.0,5.261499881744385,10.93000030517578,0.0093425984197179
2018-08-08,BIMAS.IS,Train,13.508833885192873,13.392878526947705,13.644114890736835,13.286585255125749,2272552.0,5.2591400146484375,10.850000381469728,0.0
2018-08-09,BIMAS.IS,Train,13.847039222717283,13.325237848092774,13.856701310081938,13.18995682936745,5697040.0,5.308899879455566,11.270000457763672,0.0247276019381193
2018-08-10,BIMAS.IS,Train,13.47018337249756,13.80838741746151,13.85670228102779,12.590853740262853,9551444.0,5.552000045776367,13.15999984741211,-0.0275928315176886
2018-08-13,BIMAS.IS,Train,13.19961929321289,13.412204365434786,13.537823286346214,12.977370659977655,12604272.0,6.817800045013428,14.779999732971191,-0.0202906159764409
2018-08-14,BIMAS.IS,Train,12.784112930297852,13.218946693406943,13.363891281109977,12.7647872801613,9035032.0,6.9532999992370605,13.3100004196167,-0.0319847650465639
2018-08-15,BIMAS.IS,Train,12.658492088317873,12.938717659270678,12.948381220111411,12.223658390627564,11027168.0,6.374899864196777,14.640000343322754,-0.0098749214322253
2018-08-16,BIMAS.IS,Train,12.677818298339844,12.890403376201697,12.938718233645409,12.600514231539416,6178568.0,5.956989765167236,13.449999809265137,0.001525574440423
