Tarih,Target_Tarih,Hisse_Kodu,Set,Close,Close_Next,Target_Return,Open,High,Low,Volume,USD_TRY,VIX
2015-06-15,2015-06-16,AKBNK.IS,Train,4.690330982208252,4.769827842712402,0.01694909395641894,4.763712889843327,4.76982841722501,4.684215454826569,15383292.0,2.716140031814575,15.390000343322754
2015-06-16,2015-06-17,AKBNK.IS,Train,4.769827842712402,4.800403118133545,0.006410142342528592,4.763712316067318,4.830979028291322,4.757597469567554,13027320.0,2.735729932785034,14.8100004196167
2015-06-17,2015-06-18,AKBNK.IS,Train,4.800403118133545,4.867670059204102,0.014012769222746203,4.818748336565302,4.849324607478597,4.794288272038051,13673655.0,2.73334002494812,14.5
2015-06-18,2015-06-19,AKBNK.IS,Train,4.867670059204102,4.904361724853516,0.007537829229003539,4.86155521281554,4.904361177971394,4.84932483989311,12433620.0,2.710769891738892,13.1899995803833
2015-06-19,2015-06-22,AKBNK.IS,Train,4.904361724853516,4.989973545074463,0.0174562613901617,4.8921313505672845,4.916592099139748,4.886015823351476,12472959.0,2.714560031890869,13.960000038146973
2015-06-22,2015-06-23,AKBNK.IS,Train,4.989973545074463,4.886014938354492,-0.020833498570866547,4.98385869856738,5.002203918233951,4.965512798755489,8260173.0,2.69337010383606,12.739999771118164
2015-06-23,2015-06-24,AKBNK.IS,Train,4.886014938354492,4.965512275695801,0.01627038360387855,4.928821580675487,4.928821580675487,4.86155487435783,14170588.0,2.667180061340332,12.109999656677246
2015-06-24,2015-06-25,AKBNK.IS,Train,4.965512275695801,4.861555576324463,-0.020935745115396132,4.928821500154951,4.971627801704004,4.922705974146748,14145113.0,2.6764800548553467,13.260000228881836
2015-06-25,2015-06-26,AKBNK.IS,Train,4.861555576324463,4.855440139770508,-0.0012579176475400085,4.95328235988334,4.965513073792941,4.861555576324463,19212192.0,2.677479982376098,14.010000228881836
2015-06-26,2015-06-29,AKBNK.IS,Train,4.855440139770508,4.751481533050537,-0.021410748300335198,4.873785360794908,4.904361636029405,4.855440139770508,18810426.0,2.6539299488067627,14.020000457763672
2015-06-29,2015-06-30,AKBNK.IS,Train,4.751481533050537,4.739251613616943,-0.0025739170716595253,4.794288175437582,4.812633393499699,4.739251160960705,11335182.0,2.698649883270264,18.850000381469727
2015-06-30,2015-07-01,AKBNK.IS,Train,4.739251613616943,4.653639316558838,-0.01806451820623365,4.7698278868345625,4.7698278868345625,4.684214933956024,20480108.0,2.7032999992370605,18.229999542236328
2015-07-01,2015-07-02,AKBNK.IS,Train,4.653639316558838,4.690330982208252,0.007884509983155708,4.775942708426708,4.782058235096397,4.653639316558838,14725568.0,2.681030035018921,16.09000015258789
2015-07-02,2015-07-03,AKBNK.IS,Train,4.690330982208252,4.635293960571289,-0.011734144529615038,4.623064261882158,4.708676204062495,4.604718359882513,17622817.0,2.691610097885132,16.790000915527344
2015-07-03,2015-07-06,AKBNK.IS,Train,4.635293960571289,4.751481533050537,0.0250658477040641,4.678099925419398,4.678099925419398,4.635293960571289,7464091.0,2.683619976043701,16.90000057220459
2015-07-06,2015-07-07,AKBNK.IS,Train,4.751481533050537,4.659754753112793,-0.019304879814791974,4.696444858646291,4.76371190514037,4.684214486556457,14084392.0,2.7152199745178223,17.010000228881836
2015-07-07,2015-07-08,AKBNK.IS,Train,4.659754753112793,4.519105911254883,-0.03018374341781709,4.7331366507853065,4.739251497191416,4.647524380155265,16802718.0,2.6793100833892822,16.09000015258789
2015-07-08,2015-07-09,AKBNK.IS,Train,4.519105911254883,4.708675384521484,0.0419484466594325,4.635294117031844,4.6475244902791735,4.519105911254883,16314879.0,2.686530113220215,19.65999984741211
2015-07-09,2015-07-10,AKBNK.IS,Train,4.708675384521484,4.751481533050537,0.009090910932141668,4.629178303413829,4.708675384521484,4.629178303413829,13085393.0,2.6844699382781982,19.96999931335449
2015-07-10,2015-07-13,AKBNK.IS,Train,4.751481533050537,4.782058238983154,0.006435194101025241,4.794288175437582,4.824863765589533,4.745366687078251,11333040.0,2.674269914627075,16.829999923706055
2015-07-13,2015-07-14,AKBNK.IS,Train,4.782058238983154,4.739251613616943,-0.008951506490919114,4.8065183052458185,4.8126338319204764,4.763712339104502,12025773.0,2.668489933013916,13.899999618530272
2015-07-14,2015-07-15,AKBNK.IS,Train,4.739251613616943,4.71479082107544,-0.005161319663050094,4.824864226422819,4.830979072979146,4.720906393802633,13369381.0,2.645989894866944,13.369999885559082
2015-07-15,2015-07-16,AKBNK.IS,Train,4.71479082107544,4.708675384521484,-0.0012970748408645285,4.72090566668996,4.751481255053008,4.696444583868822,12098247.0,2.631319999694824,13.229999542236328
